,length,space,has .,has %,has percent,label
14.1 percent,12,1,1,0,1,1
10 percent,10,1,0,0,1,1
7.37 percent,12,1,1,0,1,1
7.4 percent,11,1,1,0,1,1
7.68 percent,12,1,1,0,1,1
38%,3,0,0,1,0,1
73 percent,10,1,0,0,1,1
37 percent,10,1,0,0,1,1
6.5%,4,0,1,1,0,0
12 percent,10,1,0,0,1,1
49%,3,0,0,1,0,1
62.3 percent,12,1,1,0,1,0
35.3 percent,12,1,1,0,1,0
11.6 percent,12,1,1,0,1,1
3 percent,9,1,0,0,1,1
30.05%,6,0,1,1,0,0
27%,3,0,0,1,0,1
500 50%,7,1,0,1,0,0
20%,3,0,0,1,0,1
84.0 percent,12,1,1,0,1,0
19%,3,0,0,1,0,1
around 50%,10,1,0,1,0,0
5%,2,0,0,1,0,1
7.1%,4,0,1,1,0,0
45%,3,0,0,1,0,1
30% percent,11,1,0,1,1,0
65%,3,0,0,1,0,1
55%,3,0,0,1,0,1
10-15%,6,0,0,1,0,1
16%,3,0,0,1,0,1
47%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
58 percent,10,1,0,0,1,1
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
10.1%,5,0,1,1,0,0
65.0 percent,12,1,1,0,1,0
15%,3,0,0,1,0,1
57%,3,0,0,1,0,1
70 percent,10,1,0,0,1,1
last 1.86 percent,17,2,1,0,1,0
3.78 percent,12,1,1,0,1,1
nearly 4%,9,1,0,1,0,0
7 percent,9,1,0,0,1,1
48.2 percent,12,1,1,0,1,1
18%,3,0,0,1,0,1
38.7 percent,12,1,1,0,1,1
52 percent,10,1,0,0,1,1
500 11%,7,1,0,1,0,0
53.0 percent,12,1,1,0,1,0
17.82 percent,13,1,1,0,1,0
29.4%,5,0,1,1,0,0
500 40%,7,1,0,1,0,0
12%,3,0,0,1,0,1
8 percent,9,1,0,0,1,1
6.93 percent,12,1,1,0,1,1
31.3 percent,12,1,1,0,1,1
50%,3,0,0,1,0,1
20 percent,10,1,0,0,1,1
7.8 percent,11,1,1,0,1,1
34%,3,0,0,1,0,1
94.0 percent,12,1,1,0,1,0
3%,2,0,0,1,0,1
7%,2,0,0,1,0,1
48%,3,0,0,1,0,1
6.2 percent,11,1,1,0,1,1
around 10 percent,17,2,0,0,1,0
five percent,12,1,0,0,1,1
16.8%,5,0,1,1,0,0
0.3%,4,0,1,1,0,0
95%,3,0,0,1,0,1
84.69%,6,0,1,1,0,1
6.3 percent,11,1,1,0,1,1
8%,2,0,0,1,0,1
28.37%,6,0,1,1,0,0
30%,3,0,0,1,0,1
17%,3,0,0,1,0,1
6.5 percent,11,1,1,0,1,1
6 percent,9,1,0,0,1,1
9 percent,9,1,0,0,1,1
47.2 percent,12,1,1,0,1,0
94%,3,0,0,1,0,1
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
3.6%,4,0,1,1,0,0
6.4 percent,11,1,1,0,1,1
9%,2,0,0,1,0,1
Seven percent,13,1,0,0,1,0
3.2 percent,11,1,1,0,1,1
14.93%,6,0,1,1,0,0
8.9 percent,11,1,1,0,1,1
nearly 30%,10,1,0,1,0,0
nearly 10%,10,1,0,1,0,0
0.7%,4,0,1,1,0,0
22%,3,0,0,1,0,1
51 percent,10,1,0,0,1,1
3.7%,4,0,1,1,0,0
1.5%,4,0,1,1,0,0
54%,3,0,0,1,0,1
2¼ percent,10,1,0,0,1,0
18 percent,10,1,0,0,1,1
6.5%,4,0,1,1,0,0
around 20%,10,1,0,1,0,0
5.5 percent,11,1,1,0,1,1
0.2%,4,0,1,1,0,0
7.7%,4,0,1,1,0,0
0.3 percent,11,1,1,0,1,1
2012 13.5 percent,17,2,1,0,1,0
-0.2 percent,12,1,1,0,1,0
38 percent,10,1,0,0,1,1
3 percent,9,1,0,0,1,1
0.1 percent,11,1,1,0,1,1
61%,3,0,0,1,0,1
20%,3,0,0,1,0,1
0.1%,4,0,1,1,0,0
99.9%,5,0,1,1,0,0
55%,3,0,0,1,0,1
22 percent,10,1,0,0,1,1
16%,3,0,0,1,0,1
2.2%,4,0,1,1,0,0
2 percent,9,1,0,0,1,1
2.7%,4,0,1,1,0,0
1%,2,0,0,1,0,1
3 4 percent,11,2,0,0,1,0
22.3%,5,0,1,1,0,0
0.2 percent,11,1,1,0,1,1
8.24%,5,0,1,1,0,0
15 percent,10,1,0,0,1,1
0.7 percent,11,1,1,0,1,1
Twenty-seven percent,20,1,0,0,1,0
31 percent,10,1,0,0,1,1
around 1.6 percent,18,2,1,0,1,0
two percent,11,1,0,0,1,1
38.2%,5,0,1,1,0,0
eight - 10 percent,18,3,0,0,1,0
60%,3,0,0,1,0,1
15.3%,5,0,1,1,0,0
twenty-five percent,19,1,0,0,1,1
7.4 percent,11,1,1,0,1,1
less 8 percent,14,2,0,0,1,0
69%,3,0,0,1,0,1
8 percent,9,1,0,0,1,1
7.2 percent,11,1,1,0,1,1
39%,3,0,0,1,0,1
24%,3,0,0,1,0,1
another 10%,11,1,0,1,0,0
50%,3,0,0,1,0,1
less 0.1%,9,1,1,1,0,0
2.5 percent,11,1,1,0,1,1
7.8 percent,11,1,1,0,1,1
21%,3,0,0,1,0,1
10.14%,6,0,1,1,0,1
56 percent,10,1,0,0,1,1
34 percent,10,1,0,0,1,1
13%,3,0,0,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
28 percent,10,1,0,0,1,1
0.2 percentage point,20,2,1,0,1,0
0.9 percent,11,1,1,0,1,1
5.5%,4,0,1,1,0,0
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
around 9%,9,1,0,1,0,0
last 3.5%,9,1,1,1,0,0
0.3%,4,0,1,1,0,0
55 percent,10,1,0,0,1,1
6.3 percent,11,1,1,0,1,1
6.7 percent,11,1,1,0,1,1
1.3 percent,11,1,1,0,1,1
8.3%,4,0,1,1,0,0
30%,3,0,0,1,0,1
17%,3,0,0,1,0,1
45 percent,10,1,0,0,1,1
100 percent,11,1,0,0,1,1
29.9%,5,0,1,1,0,0
6.5 percent,11,1,1,0,1,1
35%,3,0,0,1,0,1
6 percent,9,1,0,0,1,1
19 percent,10,1,0,0,1,1
9 percent,9,1,0,0,1,1
3.9 percent,11,1,1,0,1,1
7.5%,4,0,1,1,0,0
40%,3,0,0,1,0,1
49.6%,5,0,1,1,0,0
0.4%,4,0,1,1,0,0
5 percent,9,1,0,0,1,1
37.6%,5,0,1,1,0,0
0.6%,4,0,1,1,0,0
3.2 percent,11,1,1,0,1,1
70%,3,0,0,1,0,1
26 percent,10,1,0,0,1,1
8.2%,4,0,1,1,0,0
0.5%,4,0,1,1,0,0
41 percent,10,1,0,0,1,1
0.24%,5,0,1,1,0,1
3.3 percent estimated 4.5 percent,33,4,1,0,1,0
0.7%,4,0,1,1,0,0
19.7%,5,0,1,1,0,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
25 percent,10,1,0,0,1,1
1.0 percent,11,1,1,0,1,1
1.5%,4,0,1,1,0,0
~25%,4,0,0,1,0,0
230 %,5,1,0,1,0,0
Only 36 percent,15,2,0,0,1,0
32.1%,5,0,1,1,0,0
37 percent,10,1,0,0,1,1
48 percent,10,1,0,0,1,1
78.5 percent,12,1,1,0,1,0
6.5%,4,0,1,1,0,0
29 percent,10,1,0,0,1,1
17.4%,5,0,1,1,0,0
0.2%,4,0,1,1,0,0
roughly 42%,11,1,0,1,0,0
Six percent,11,1,0,0,1,0
1.9 percent,11,1,1,0,1,1
0.3 percent,11,1,1,0,1,1
12 percent,10,1,0,0,1,1
Four percent,12,1,0,0,1,0
3 percent,9,1,0,0,1,1
2.5%,4,0,1,1,0,0
77.4 percent,12,1,1,0,1,0
0.1 percent,11,1,1,0,1,1
nearly 60 percent,17,2,0,0,1,0
28%,3,0,0,1,0,1
0.4 percent,11,1,1,0,1,1
27.6%,5,0,1,1,0,0
39 percent,10,1,0,0,1,1
5%,2,0,0,1,0,1
3 Reasons,9,1,0,0,0,0
0.1%,4,0,1,1,0,0
0.62%,5,0,1,1,0,1
45%,3,0,0,1,0,1
19.1 percent,12,1,1,0,1,0
15.7 percent,12,1,1,0,1,1
ninety percent,14,1,0,0,1,1
1.4 percentage points,21,2,1,0,1,0
9.9 percent,11,1,1,0,1,1
32%,3,0,0,1,0,1
ten twelve percent,18,2,0,0,1,0
4.3 percent,11,1,1,0,1,1
5.2 percent,11,1,1,0,1,1
2.9 percent,11,1,1,0,1,1
16%,3,0,0,1,0,1
71.8 percent,12,1,1,0,1,0
2 percent,9,1,0,0,1,1
58 percent,10,1,0,0,1,1
15.9%,5,0,1,1,0,0
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
0.2 percent,11,1,1,0,1,1
10.4%,5,0,1,1,0,0
15%,3,0,0,1,0,1
85%,3,0,0,1,0,1
15 percent,10,1,0,0,1,1
70 percent,10,1,0,0,1,1
approximately 8.7%,18,1,1,1,0,0
75%,3,0,0,1,0,1
20.6%,5,0,1,1,0,0
11%,3,0,0,1,0,1
53.5%,5,0,1,1,0,0
ROE 11%,7,1,0,1,0,0
93 percent,10,1,0,0,1,1
nearly 4%,9,1,0,1,0,0
2.3 percent,11,1,1,0,1,1
78.3 percent,12,1,1,0,1,0
2.3%,4,0,1,1,0,0
16.5%,5,0,1,1,0,0
7 percent,9,1,0,0,1,1
2.1 percent,11,1,1,0,1,1
2.6 percent,11,1,1,0,1,1
Nearly 60 percent,17,2,0,0,1,0
18%,3,0,0,1,0,1
98.1 percent,12,1,1,0,1,0
0.7 percentage point,20,2,1,0,1,0
138 percent,11,1,0,0,1,1
60%,3,0,0,1,0,1
7.5 percent,11,1,1,0,1,1
4.8 percent,11,1,1,0,1,1
7.4 percent,11,1,1,0,1,1
36 percent,10,1,0,0,1,1
0.6 percentage point,20,2,1,0,1,0
12%,3,0,0,1,0,1
4.4 percent,11,1,1,0,1,1
27.7%,5,0,1,1,0,0
5 to10 percent,14,2,0,0,1,0
1.2 percent,11,1,1,0,1,1
17.9%,5,0,1,1,0,0
200%,4,0,0,1,0,1
230%,4,0,0,1,0,1
50%,3,0,0,1,0,1
36%,3,0,0,1,0,1
20 percent,10,1,0,0,1,1
78.8 percent,12,1,1,0,1,0
7.8 percent,11,1,1,0,1,1
4.8%,4,0,1,1,0,0
nearly 8 percent,16,2,0,0,1,0
10.7%,5,0,1,1,0,0
34%,3,0,0,1,0,1
1.8 percent,11,1,1,0,1,1
1.7 percent,11,1,1,0,1,1
5.3 percent,11,1,1,0,1,1
3%,2,0,0,1,0,1
4.7 percent,11,1,1,0,1,1
2%,2,0,0,1,0,1
48%,3,0,0,1,0,1
28 percent,10,1,0,0,1,1
17 percent,10,1,0,0,1,1
6.2 percent,11,1,1,0,1,1
2 3 percent,11,2,0,0,1,0
0.9 percent,11,1,1,0,1,1
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
42 percent,10,1,0,0,1,1
11.2 percent,12,1,1,0,1,1
10.1 percent,12,1,1,0,1,1
1.0%,4,0,1,1,0,0
3.0 percent,11,1,1,0,1,1
0.3%,4,0,1,1,0,0
1.3 percent,11,1,1,0,1,1
2.56%,5,0,1,1,0,1
29.2%,5,0,1,1,0,0
25.1%,5,0,1,1,0,0
almost 45%,10,1,0,1,0,0
100 percent,11,1,0,0,1,1
7.1 percent,11,1,1,0,1,1
2.2 percent,11,1,1,0,1,1
6.5 percent,11,1,1,0,1,1
35%,3,0,0,1,0,1
19 percent,10,1,0,0,1,1
16 percent,10,1,0,0,1,1
1 percent,9,1,0,0,1,1
9 percent,9,1,0,0,1,1
75.6 percent,12,1,1,0,1,0
44 percent,10,1,0,0,1,1
2.0 percent,11,1,1,0,1,1
23%,3,0,0,1,0,1
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
6.4 percent,11,1,1,0,1,1
5 percent,9,1,0,0,1,1
1.5 percent,11,1,1,0,1,1
72.4 percent,12,1,1,0,1,0
1.1 percent,11,1,1,0,1,1
0.3 percentage point,20,2,1,0,1,0
0.6%,4,0,1,1,0,0
rally least 22 percent,22,3,0,0,1,0
Advances 1 percent,18,2,0,0,1,0
36.8%,5,0,1,1,0,0
100%,4,0,0,1,0,1
0.8 percent,11,1,1,0,1,1
3.2 percent,11,1,1,0,1,1
9.4 percent,11,1,1,0,1,1
14 percent,10,1,0,0,1,1
91.9 percent,12,1,1,0,1,0
78.5%,5,0,1,1,0,0
13 percent,10,1,0,0,1,1
17.7 percent,12,1,1,0,1,1
77.7 percent,12,1,1,0,1,0
41 percent,10,1,0,0,1,1
90 percent,10,1,0,0,1,1
0.6 percent,11,1,1,0,1,1
78.7 percent,12,1,1,0,1,1
28.3%,5,0,1,1,0,0
0.5 percent,11,1,1,0,1,1
8.4%,4,0,1,1,0,0
11.0%,5,0,1,1,0,0
26 percent,10,1,0,0,1,1
4%,2,0,0,1,0,1
89.1 percent,12,1,1,0,1,0
25 percent,10,1,0,0,1,1
1.5%,4,0,1,1,0,0
3.7 percent,11,1,1,0,1,1
21 percent,10,1,0,0,1,1
26%,3,0,0,1,0,1
nearly 15 percent,17,2,0,0,1,0
3.31%,5,0,1,1,0,0
"900,000 28.8 percent",20,2,1,0,1,0
32.6%,5,0,1,1,0,0
5.5 percent,11,1,1,0,1,1
37.9 percent,12,1,1,0,1,0
around 50 percent,17,2,0,0,1,0
20.5 percent,12,1,1,0,1,1
14.1%,5,0,1,1,0,0
10.3%,5,0,1,1,0,0
0.3 percent,11,1,1,0,1,1
1.9 percent,11,1,1,0,1,1
3.5%,4,0,1,1,0,0
49%,3,0,0,1,0,1
12.6%,5,0,1,1,0,0
This 11.4 percent,17,2,1,0,1,0
4.28 percent,12,1,1,0,1,1
13.6 percent,12,1,1,0,1,1
53%,3,0,0,1,0,1
3 percent,9,1,0,0,1,1
2.5%,4,0,1,1,0,0
3.8%,4,0,1,1,0,0
0.1 percent,11,1,1,0,1,1
1.45%,5,0,1,1,0,1
28%,3,0,0,1,0,1
This 30.3 percent,17,2,1,0,1,0
8.1 percent,11,1,1,0,1,1
20%,3,0,0,1,0,1
nearly 14 percent,17,2,0,0,1,0
20.6 percent,12,1,1,0,1,1
5%,2,0,0,1,0,1
40 0.5 percent,14,2,1,0,1,0
6%,2,0,0,1,0,1
45%,3,0,0,1,0,1
nearly 90 percent,17,2,0,0,1,0
78%,3,0,0,1,0,1
12.7%,5,0,1,1,0,0
22 percent,10,1,0,0,1,1
16.6%,5,0,1,1,0,0
3.4%,4,0,1,1,0,0
10-15%,6,0,0,1,0,1
16%,3,0,0,1,0,1
7.4%,4,0,1,1,0,0
a8.24%,6,0,1,1,0,0
47%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
58 percent,10,1,0,0,1,1
6.8%,4,0,1,1,0,0
22.0%,5,0,1,1,0,0
8.0%,4,0,1,1,0,0
50 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
30 percent,10,1,0,0,1,1
0.2 percent,11,1,1,0,1,1
4%,2,0,0,1,0,1
22.7%,5,0,1,1,0,0
8.24%,5,0,1,1,0,0
4 percent,9,1,0,0,1,1
57%,3,0,0,1,0,1
half 21 percent,15,2,0,0,1,0
70 percent,10,1,0,0,1,1
75%,3,0,0,1,0,1
20.6%,5,0,1,1,0,0
0.7 percent,11,1,1,0,1,1
19.8%,5,0,1,1,0,0
1.8%,4,0,1,1,0,0
11%,3,0,0,1,0,1
This 1.6 percent,16,2,1,0,1,0
14.3 percent,12,1,1,0,1,1
3.3 percent,11,1,1,0,1,1
141.2 percent,13,1,1,0,1,0
7 percent,9,1,0,0,1,1
11.5%,5,0,1,1,0,0
18%,3,0,0,1,0,1
4.3%,4,0,1,1,0,0
60%,3,0,0,1,0,1
1.7%,4,0,1,1,0,0
20.7 percent,12,1,1,0,1,1
Just 33%,8,1,0,1,0,0
0.45 percent,12,1,1,0,1,0
4.9%,4,0,1,1,0,0
3.276 percent,13,1,1,0,1,1
7.4 percent,11,1,1,0,1,1
163.9 percent,13,1,1,0,1,0
14.0%,5,0,1,1,0,0
36 percent,10,1,0,0,1,1
7.8%,4,0,1,1,0,0
69%,3,0,0,1,0,1
1.2-1.3 percent,15,1,1,0,1,0
8 percent,9,1,0,0,1,1
2.0%,4,0,1,1,0,0
120 percent,11,1,0,0,1,1
16.5 percent,12,1,1,0,1,1
68%,3,0,0,1,0,1
1.2 percent,11,1,1,0,1,1
7.7 percent,11,1,1,0,1,1
50%,3,0,0,1,0,1
20 percent,10,1,0,0,1,1
This 0.3 percent,16,2,1,0,1,0
2.5 percent,11,1,1,0,1,1
7.8 percent,11,1,1,0,1,1
This 12.1 percent,17,2,1,0,1,0
10.7%,5,0,1,1,0,0
13.0%,5,0,1,1,0,0
34%,3,0,0,1,0,1
1.8 percent,11,1,1,0,1,1
7.9 percent,11,1,1,0,1,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
"851,000 36.9 percent",20,2,1,0,1,0
0.9 percent,11,1,1,0,1,1
5.5%,4,0,1,1,0,0
10 percent,10,1,0,0,1,1
10.2 percent,12,1,1,0,1,1
This 28.1 percent,17,2,1,0,1,0
42 percent,10,1,0,0,1,1
14%,3,0,0,1,0,1
15.1 percent,12,1,1,0,1,1
34.2%,5,0,1,1,0,0
0.3%,4,0,1,1,0,0
29.3%,5,0,1,1,0,0
approximately 1%,16,1,0,1,0,0
55 percent,10,1,0,0,1,1
8.3%,4,0,1,1,0,0
1.1%,4,0,1,1,0,0
8%,2,0,0,1,0,1
30%,3,0,0,1,0,1
23 percent,10,1,0,0,1,1
17%,3,0,0,1,0,1
3.9%,4,0,1,1,0,0
2.2 percent,11,1,1,0,1,1
28.5%,5,0,1,1,0,0
35%,3,0,0,1,0,1
13.9%,5,0,1,1,0,0
1 percent,9,1,0,0,1,1
15.2 percent,12,1,1,0,1,1
1.58%,5,0,1,1,0,1
9 percent,9,1,0,0,1,1
414%,4,0,0,1,0,1
7.5%,4,0,1,1,0,0
10%,3,0,0,1,0,1
35.5%,5,0,1,1,0,0
4.5%,4,0,1,1,0,0
9%,2,0,0,1,0,1
4.0%,4,0,1,1,0,0
1.1 percent,11,1,1,0,1,1
1.9%,4,0,1,1,0,0
42%,3,0,0,1,0,1
72%,3,0,0,1,0,1
10.3 percent,12,1,1,0,1,1
0.8 percent,11,1,1,0,1,1
100%,4,0,0,1,0,1
approximately 8%,16,1,0,1,0,0
5.8 percent,11,1,1,0,1,1
4.73 percent,12,1,1,0,1,1
12.1 percent,12,1,1,0,1,1
1.2 1.3 percent,15,2,1,0,1,0
less 2%,7,1,0,1,0,0
"675,000 13.2 percent",20,2,1,0,1,0
0.5 percent,11,1,1,0,1,1
8.7%,4,0,1,1,0,0
4.7%,4,0,1,1,0,0
25%,3,0,0,1,0,1
2.93 percent,12,1,1,0,1,0
31%,3,0,0,1,0,1
25 percent,10,1,0,0,1,1
1.47 percent,12,1,1,0,1,1
2.8%,4,0,1,1,0,0
36 percent,10,1,0,0,1,1
1.5%,4,0,1,1,0,0
Only 30 percent,15,2,0,0,1,0
7.8%,4,0,1,1,0,0
2.9 percent,11,1,1,0,1,1
6.1%,4,0,1,1,0,0
14.2 percent,12,1,1,0,1,1
21 percent,10,1,0,0,1,1
2.2%,4,0,1,1,0,0
47%,3,0,0,1,0,1
2.86%,5,0,1,1,0,1
14.9 percent,12,1,1,0,1,1
50 percent,10,1,0,0,1,1
7.5%,4,0,1,1,0,0
12.0 percent,12,1,1,0,1,1
30 percent,10,1,0,0,1,1
60 percent,10,1,0,0,1,1
4.5%,4,0,1,1,0,0
3.6%,4,0,1,1,0,0
6.4 percent,11,1,1,0,1,1
1%,2,0,0,1,0,1
5 percent,9,1,0,0,1,1
An additional 21 percent,24,3,0,0,1,0
90%,3,0,0,1,0,1
7.7%,4,0,1,1,0,0
15%,3,0,0,1,0,1
76 percent,10,1,0,0,1,1
12 percent,10,1,0,0,1,1
1.12%,5,0,1,1,0,1
13.6 percent,12,1,1,0,1,1
100%,4,0,0,1,0,1
3.2 percent,11,1,1,0,1,1
7.9 percent,11,1,1,0,1,1
4.7 percent,11,1,1,0,1,1
80%,3,0,0,1,0,1
1.4%,4,0,1,1,0,0
70%,3,0,0,1,0,1
3 percent,9,1,0,0,1,1
4.4%,4,0,1,1,0,0
2.5%,4,0,1,1,0,0
An additional 27 percent,24,3,0,0,1,0
3.2%,4,0,1,1,0,0
7.9%,4,0,1,1,0,0
17 percent,10,1,0,0,1,1
10 percent,10,1,0,0,1,1
Just 35 percent,15,2,0,0,1,0
0.5%,4,0,1,1,0,0
3.4 percent,11,1,1,0,1,1
4.3%,4,0,1,1,0,0
15.1 percent,12,1,1,0,1,1
53 percent,10,1,0,0,1,1
39 percent,10,1,0,0,1,1
41 percent,10,1,0,0,1,1
5%,2,0,0,1,0,1
Eighty-six percent,18,1,0,0,1,1
0.3%,4,0,1,1,0,0
Fifty-four percent,18,1,0,0,1,0
52 percent,10,1,0,0,1,1
46 percent,10,1,0,0,1,1
Just 12%,8,1,0,1,0,0
25.6%,5,0,1,1,0,0
2012 18.4%,10,1,1,1,0,0
4%,2,0,0,1,0,1
30%,3,0,0,1,0,1
43 percent,10,1,0,0,1,1
7.4 percent,11,1,1,0,1,1
7.8%,4,0,1,1,0,0
54%,3,0,0,1,0,1
12%,3,0,0,1,0,1
130%,4,0,0,1,0,1
35%,3,0,0,1,0,1
10.7 million 22 percent,23,3,1,0,1,0
52%,3,0,0,1,0,1
66 percent,10,1,0,0,1,1
12%-to-13%,10,0,0,1,0,0
around 35%,10,1,0,1,0,0
60 percent,10,1,0,0,1,1
Only 55%,8,1,0,1,0,0
57%,3,0,0,1,0,1
100%,4,0,0,1,0,1
about 50 percent,16,2,0,0,1,0
5.6%,4,0,1,1,0,0
13%,3,0,0,1,0,1
91%,3,0,0,1,0,1
2%,2,0,0,1,0,1
61%,3,0,0,1,0,1
4.1%,4,0,1,1,0,0
5.5%,4,0,1,1,0,0
20%,3,0,0,1,0,1
11.9%,5,0,1,1,0,0
normal percent,14,1,0,0,1,0
59%,3,0,0,1,0,1
5.3%,4,0,1,1,0,0
30%,3,0,0,1,0,1
3.4%,4,0,1,1,0,0
nearly 1%,9,1,0,1,0,0
1.5%,4,0,1,1,0,0
2.2%,4,0,1,1,0,0
1.47%,5,0,1,1,0,1
4.46%,5,0,1,1,0,1
2.0%,4,0,1,1,0,0
1%,2,0,0,1,0,1
4.5%,4,0,1,1,0,0
6.5%,4,0,1,1,0,0
2.25%,5,0,1,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
2.5%,4,0,1,1,0,0
1.84 percent,12,1,1,0,1,0
20%,3,0,0,1,0,1
2.75%,5,0,1,1,0,1
0.3%,4,0,1,1,0,0
6%,2,0,0,1,0,1
10.5%,5,0,1,1,0,0
25-250% percent,15,1,0,1,1,0
36 percent,10,1,0,0,1,1
1.5%,4,0,1,1,0,0
35%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
28.9%,5,0,1,1,0,0
2.0%,4,0,1,1,0,0
1.3%,4,0,1,1,0,0
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
18.3%,5,0,1,1,0,0
-8.67%,6,0,1,1,0,0
72%,3,0,0,1,0,1
around 33 percent,17,2,0,0,1,0
20.6%,5,0,1,1,0,0
77%,3,0,0,1,0,1
3%,2,0,0,1,0,1
14 percent,10,1,0,0,1,1
15.0%,5,0,1,1,0,0
40 percent,10,1,0,0,1,1
nearly 10 percent,17,2,0,0,1,0
20%,3,0,0,1,0,1
1.0%,4,0,1,1,0,0
11-12%,6,0,0,1,0,1
roughly 150%,12,1,0,1,0,0
-3.45%,6,0,1,1,0,0
nearly 70%,10,1,0,1,0,0
30%,3,0,0,1,0,1
22%,3,0,0,1,0,1
8.6%,4,0,1,1,0,0
1.5%,4,0,1,1,0,0
102.7%,6,0,1,1,0,0
21 percent,10,1,0,0,1,1
38%,3,0,0,1,0,1
7.2%,4,0,1,1,0,0
26%,3,0,0,1,0,1
1.3%,4,0,1,1,0,0
0.23%,5,0,1,1,0,1
18 percent,10,1,0,0,1,1
almost 13%,10,1,0,1,0,0
37 percent,10,1,0,0,1,1
7.7%,4,0,1,1,0,0
12 percent,10,1,0,0,1,1
3.5%,4,0,1,1,0,0
37%,3,0,0,1,0,1
5.6%,4,0,1,1,0,0
6.7%,4,0,1,1,0,0
25.5 percent,12,1,1,0,1,1
38 percent,10,1,0,0,1,1
51%,3,0,0,1,0,1
53%,3,0,0,1,0,1
3 percent,9,1,0,0,1,1
2.5%,4,0,1,1,0,0
5.9 percent month,17,2,1,0,1,0
about 4%,8,1,0,1,0,0
27%,3,0,0,1,0,1
0.1 percent,11,1,1,0,1,1
3.2%,4,0,1,1,0,0
24%-25%,7,0,0,1,0,0
82%,3,0,0,1,0,1
20%,3,0,0,1,0,1
around 50%,10,1,0,1,0,0
19%,3,0,0,1,0,1
2.03%,5,0,1,1,0,1
5%,2,0,0,1,0,1
6%,2,0,0,1,0,1
30%-75%,7,0,0,1,0,0
45%,3,0,0,1,0,1
24 percent,10,1,0,0,1,1
12.7%,5,0,1,1,0,0
1.33%,5,0,1,1,0,1
19.2 percent,12,1,1,0,1,1
3.4%,4,0,1,1,0,0
49.9 percent,12,1,1,0,1,0
41.5%,5,0,1,1,0,0
2.2%,4,0,1,1,0,0
5.1 percent,11,1,1,0,1,1
2 percent,9,1,0,0,1,1
47%,3,0,0,1,0,1
two-percent,11,0,0,0,1,1
15.9%,5,0,1,1,0,0
5.7 percent,11,1,1,0,1,1
6.8%,4,0,1,1,0,0
Only 16%,8,1,0,1,0,0
margin 51.8 percent,19,2,1,0,1,0
2.7%,4,0,1,1,0,0
8.0%,4,0,1,1,0,0
1%,2,0,0,1,0,1
4 percent,9,1,0,0,1,1
3.76%,5,0,1,1,0,1
0.95%,5,0,1,1,0,1
57%,3,0,0,1,0,1
3.1%,4,0,1,1,0,0
75%,3,0,0,1,0,1
11%,3,0,0,1,0,1
31 percent,10,1,0,0,1,1
80%,3,0,0,1,0,1
76%,3,0,0,1,0,1
11 percent,10,1,0,0,1,1
2.3%,4,0,1,1,0,0
3.3 percent,11,1,1,0,1,1
7 percent,9,1,0,0,1,1
4.1%,4,0,1,1,0,0
80.7%,5,0,1,1,0,0
4.75%,5,0,1,1,0,0
18%,3,0,0,1,0,1
53 percent,10,1,0,0,1,1
85.8%,5,0,1,1,0,0
16.7 percent,12,1,1,0,1,1
60%,3,0,0,1,0,1
2.9%,4,0,1,1,0,0
63 percent,10,1,0,0,1,1
4.9%,4,0,1,1,0,0
24.4 percent,12,1,1,0,1,0
63%,3,0,0,1,0,1
12%,3,0,0,1,0,1
6.1%,4,0,1,1,0,0
17.2 percent,12,1,1,0,1,1
decrease 4 percent,18,2,0,0,1,0
8 percent,9,1,0,0,1,1
2.0%,4,0,1,1,0,0
39%,3,0,0,1,0,1
5.38%,5,0,1,1,0,1
24%,3,0,0,1,0,1
79%,3,0,0,1,0,1
50%,3,0,0,1,0,1
7.75%,5,0,1,1,0,1
13.6%,5,0,1,1,0,0
90%,3,0,0,1,0,1
11.5 percent,12,1,1,0,1,1
margin 48.1 percent,19,2,1,0,1,0
56 percent,10,1,0,0,1,1
0.01 percent,12,1,1,0,1,1
74.4%,5,0,1,1,0,0
13%,3,0,0,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
74%,3,0,0,1,0,1
48%,3,0,0,1,0,1
margin 20.9 percent,19,2,1,0,1,0
46%,3,0,0,1,0,1
77%,3,0,0,1,0,1
31%,3,0,0,1,0,1
7.9%,4,0,1,1,0,0
165.4%,6,0,1,1,0,0
margin 27.7 percent,19,2,1,0,1,0
around 10 percent,17,2,0,0,1,0
5.5%,4,0,1,1,0,0
10 percent,10,1,0,0,1,1
